interview_number,interview_date,interview_time,respondent_gender,respondent_age,respondent_class,respondent_home,number_alters,alter1_gender,alter1_age,alter1_class,alter1_home,alter1_howclose,alter1_howoften,alter2_gender,alter2_age,alter2_class,alter2_home,alter2_howclose,alter2_howoften,alter3_gender,alter3_age,alter3_class,alter3_home,alter3_howclose,alter3_howoften,alter4_gender,alter4_age,alter4_class,alter4_home,alter4_howclose,alter4_howoften,alter5_gender,alter5_age,alter5_class,alter5_home,alter5_howclose,alter5_howoften
1,1/25/2019,07:45:00,Female,53,Junior,Bay Area,5,Male,62,Other,Rest of California,Close friend,More than once a week,Female,50,Other,Rest of United States,Close friend,Once a month,Female,64,Other,Bay Area,Friend,Once a week,Female,50,Other,Rest of United States,Close friend,Once a month,Female,31,Junior,Rest of United States,Acquaintance,Once a week
2,1/25/2019,14:54:00,Male,22,Senior,LA Area,5,Female,26,Senior,Bay Area,Friend,Once a month,Female,22,Senior,Bay Area,Friend,Once a week,Male,22,Other,Rest of World,Friend,More than once a week,Male,21,Senior,LA Area,Friend,Once a week,Male,55,Other,Rest of United States,Close friend,Once a week
3,1/24/2019,10:36:00,Female,21,Senior,Rest of World,5,Female,21,Senior,Rest of World,Close friend,Once a week,Male,55,Other,Rest of World,Close friend,More than once a week,Female,55,Other,Rest of World,Close friend,More than once a week,Female,23,Other,Rest of World,Friend,Once a month,Female,21,Senior,Rest of World,Friend,Once a month
1,1/24/2019,22:35:00,Female,21,Senior,Bay Area,5,Female,22,Other,Rest of World,Close friend,Once a month,Female,21,Senior,Rest of World,Close friend,Once a week,Female,21,Senior,LA Area,Close friend,Once a week,Male,35,Other,Rest of United States,Friend,Once a week,Female,32,Other,Rest of United States,Friend,Once a month
2,1/26/2019,21:08:00,Male,20,Junior,Rest of United States,5,Female,44,Other,Rest of United States,Close friend,Once a week,Female,71,Other,Rest of United States,Close friend,Once a week,Male,21,Junior,Rest of World,Close friend,More than once a week,Female,19,Other,Rest of United States,Close friend,Once a month,Female,20,Junior,Rest of United States,Close friend,Once a month
3,1/26/2019,21:15:00,Male,19,Junior,Bay Area,5,Female,49,Other,Rest of World,Close friend,More than once a week,Male,51,Other,Rest of United States,Close friend,More than once a week,Female,75,Other,Rest of World,Close friend,Once a week,Male,21,Junior,Rest of World,Friend,More than once a week,Male,19,Junior,Bay Area,Friend,More than once a week
1,1/24/2019,10:35:00,Female,20,Junior,Rest of World,5,Female,23,Other,Rest of World,Close friend,More than once a week,Male,20,Junior,Rest of World,Close friend,Once a week,Male,22,Other,Rest of World,Close friend,Once a month,Male,23,Other,Rest of World,Close friend,More than once a week,Female,20,Junior,Rest of World,Close friend,Once a month
2,1/24/2019,15:04:00,Male,21,Senior,Bay Area,5,Male,29,Other,Bay Area,Close friend,More than once a week,Male,20,Junior,Bay Area,Close friend,More than once a week,Male,24,Other,Bay Area,Close friend,Once a month,Male,24,Other,Rest of United States,Close friend,More than once a week,Male,22,Senior,Bay Area,Close friend,More than once a week
3,1/24/2019,15:10:00,Male,21,Senior,Rest of United States,5,Male,30,Other,LA Area,Close friend,More than once a week,Male,28,Other,LA Area,Close friend,More than once a week,Male,22,Senior,Bay Area,Close friend,More than once a week,Male,21,Senior,LA Area,Close friend,More than once a week,Male,21,Senior,Bay Area,Close friend,More than once a week
1,1/26/2019,16:07:00,Female,21,Senior,LA Area,4,Female,21,Junior,LA Area,Close friend,Once a week,Female,21,Senior,LA Area,Close friend,Once a month,Male,22,Other,LA Area,Friend,Once a month,Female,21,Senior,LA Area,Close friend,More than once a week,Female,22,Other,LA Area,Friend,More than once a week
2,1/26/2019,15:32:00,Female,22,Senior,LA Area,6+,Male,44,Other,Rest of World,Close friend,Once a month,Female,20,Junior,Rest of California,Close friend,More than once a week,Female,19,Sophomore,Rest of California,Friend,More than once a week,Female,22,Senior,LA Area,Close friend,Once a month,Female,21,Senior,LA Area,Close friend,Once a month
